Sample set for CW rotation start at Horizontal plane. 2minutes
Position, Epoch time ns, ISO8601
12183,1677420307621413933,2023-02-26T14:05:07.621413933Z
12222,1677420307637402023,2023-02-26T14:05:07.637402023Z
12279,1677420307669468019,2023-02-26T14:05:07.669468019Z
12354,1677420307685453703,2023-02-26T14:05:07.685453703Z
12447,1677420307701372040,2023-02-26T14:05:07.701372040Z
12557,1677420307717450322,2023-02-26T14:05:07.717450322Z
12686,1677420307749376232,2023-02-26T14:05:07.749376232Z
12831,1677420307765430482,2023-02-26T14:05:07.765430482Z
12996,1677420307781450197,2023-02-26T14:05:07.781450197Z
13176,1677420307797443378,2023-02-26T14:05:07.797443378Z
13371,1677420307829374944,2023-02-26T14:05:07.829374944Z
13581,1677420307845434870,2023-02-26T14:05:07.845434870Z
13808,1677420307861487233,2023-02-26T14:05:07.861487233Z
14051,1677420307877291570,2023-02-26T14:05:07.877291570Z
14305,1677420307909273198,2023-02-26T14:05:07.909273198Z
14570,1677420307925351489,2023-02-26T14:05:07.925351489Z
14845,1677420307941345187,2023-02-26T14:05:07.941345187Z
15134,1677420307957329657,2023-02-26T14:05:07.957329657Z
15427,1677420307989267029,2023-02-26T14:05:07.989267029Z
15725,1677420308005261013,2023-02-26T14:05:08.005261013Z
16030,1677420308021279794,2023-02-26T14:05:08.021279794Z
16335,1677420308037214049,2023-02-26T14:05:08.037214049Z
255,1677420308069246122,2023-02-26T14:05:08.069246122Z
555,1677420308085207109,2023-02-26T14:05:08.085207109Z
857,1677420308101253007,2023-02-26T14:05:08.101253007Z
1147,1677420308117220803,2023-02-26T14:05:08.117220803Z
1428,1677420308149181466,2023-02-26T14:05:08.149181466Z
1703,1677420308165170504,2023-02-26T14:05:08.165170504Z
1968,1677420308181190085,2023-02-26T14:05:08.181190085Z
2216,1677420308197196788,2023-02-26T14:05:08.197196788Z
2449,1677420308229169345,2023-02-26T14:05:08.229169345Z
2670,1677420308245173498,2023-02-26T14:05:08.245173498Z
2876,1677420308261080895,2023-02-26T14:05:08.261080895Z
3065,1677420308293084369,2023-02-26T14:05:08.293084369Z
3237,1677420308309083878,2023-02-26T14:05:08.309083878Z
