Sample set for CW rotation start at Horizontal plane
Position, Epoch time ns, ISO8601
13572,1679414707481973096,2023-03-21T16:05:07.481973096Z
13567,1679414707497963856,2023-03-21T16:05:07.497963856Z
13577,1679414707529872877,2023-03-21T16:05:07.529872877Z
13603,1679414707545860280,2023-03-21T16:05:07.545860280Z
13644,1679414707561816054,2023-03-21T16:05:07.561816054Z
13702,1679414707577842157,2023-03-21T16:05:07.577842157Z
13774,1679414707609815739,2023-03-21T16:05:07.609815739Z
13861,1679414707625802205,2023-03-21T16:05:07.625802205Z
13965,1679414707641792350,2023-03-21T16:05:07.641792350Z
14081,1679414707673783442,2023-03-21T16:05:07.673783442Z
14210,1679414707689712106,2023-03-21T16:05:07.689712106Z
14350,1679414707705697584,2023-03-21T16:05:07.705697584Z
14505,1679414707721705486,2023-03-21T16:05:07.721705486Z
14670,1679414707753649685,2023-03-21T16:05:07.753649685Z
14845,1679414707769675653,2023-03-21T16:05:07.769675653Z
15034,1679414707785648045,2023-03-21T16:05:07.785648045Z
15227,1679414707801698641,2023-03-21T16:05:07.801698641Z
15428,1679414707833596961,2023-03-21T16:05:07.833596961Z
15634,1679414707849597125,2023-03-21T16:05:07.849597125Z
15843,1679414707865574939,2023-03-21T16:05:07.865574939Z
16062,1679414707881551242,2023-03-21T16:05:07.881551242Z
16279,1679414707913480935,2023-03-21T16:05:07.913480935Z
112,1679414707929489610,2023-03-21T16:05:07.929489610Z
325,1679414707945480381,2023-03-21T16:05:07.945480381Z
537,1679414707961523714,2023-03-21T16:05:07.961523714Z
749,1679414707993396371,2023-03-21T16:05:07.993396371Z
953,1679414708009378847,2023-03-21T16:05:08.009378847Z
1151,1679414708025442026,2023-03-21T16:05:08.025442026Z
1337,1679414708041428478,2023-03-21T16:05:08.041428478Z
1517,1679414708073350641,2023-03-21T16:05:08.073350641Z
1690,1679414708089370345,2023-03-21T16:05:08.089370345Z
1851,1679414708105334393,2023-03-21T16:05:08.105334393Z
1999,1679414708121297632,2023-03-21T16:05:08.121297632Z
2136,1679414708153290861,2023-03-21T16:05:08.153290861Z
2256,1679414708169247127,2023-03-21T16:05:08.169247127Z
2363,1679414708185208862,2023-03-21T16:05:08.185208862Z
2455,1679414708201297518,2023-03-21T16:05:08.201297518Z
2534,1679414708233188540,2023-03-21T16:05:08.233188540Z
2599,1679414708249175766,2023-03-21T16:05:08.249175766Z
2649,1679414708265187174,2023-03-21T16:05:08.265187174Z
2685,1679414708281107145,2023-03-21T16:05:08.281107145Z
2704,1679414708313089436,2023-03-21T16:05:08.313089436Z
2709,1679414708329063288,2023-03-21T16:05:08.329063288Z
2697,1679414708345094065,2023-03-21T16:05:08.345094065Z
2670,1679414708361048674,2023-03-21T16:05:08.361048674Z
2629,1679414708392984472,2023-03-21T16:05:08.392984472Z
2572,1679414708408956128,2023-03-21T16:05:08.408956128Z
2502,1679414708425028555,2023-03-21T16:05:08.425028555Z
2417,1679414708456941836,2023-03-21T16:05:08.456941836Z
2318,1679414708472899684,2023-03-21T16:05:08.472899684Z
2206,1679414708488883211,2023-03-21T16:05:08.488883211Z
2079,1679414708504881042,2023-03-21T16:05:08.504881042Z
1939,1679414708536829016,2023-03-21T16:05:08.536829016Z
1786,1679414708552862031,2023-03-21T16:05:08.552862031Z
1621,1679414708568799393,2023-03-21T16:05:08.568799393Z
1449,1679414708584781659,2023-03-21T16:05:08.584781659Z
1269,1679414708616779044,2023-03-21T16:05:08.616779044Z
1082,1679414708632753940,2023-03-21T16:05:08.632753940Z
886,1679414708648679121,2023-03-21T16:05:08.648679121Z
683,1679414708664682685,2023-03-21T16:05:08.664682685Z
476,1679414708696697462,2023-03-21T16:05:08.696697462Z
268,1679414708712739853,2023-03-21T16:05:08.712739853Z
60,1679414708728681019,2023-03-21T16:05:08.728681019Z
16234,1679414708744648230,2023-03-21T16:05:08.744648230Z
16024,1679414708776654937,2023-03-21T16:05:08.776654937Z
15817,1679414708792640464,2023-03-21T16:05:08.792640464Z
15616,1679414708808572972,2023-03-21T16:05:08.808572972Z
15421,1679414708824623944,2023-03-21T16:05:08.824623944Z
15232,1679414708856575034,2023-03-21T16:05:08.856575034Z
15050,1679414708872551758,2023-03-21T16:05:08.872551758Z
